,,,,,,,,,,,,,,,,,131,203,
108,04.- IQUITOS,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,PAP MARISCAL RAMON CASTILLA - CABALLOCOCHA,436,PAP,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,NO,SI,Ayacucho Mz. 22 Lt. 4 C con Amazonas S/N - Local Municipal
109,04.- IQUITOS,LORETO,MAYNAS,SAN JUAN BAUTISTA,OR SAN JUAN BAUTISTA,438,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,NO,SI,Abelardo Quiñones Nº 2371 Km. 2.5 
110,04.- IQUITOS,LORETO,MARISCAL RAMON CASTILLA,YAVARI,PAP YAVARI,439,PAP,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,NO,NO,NO,SI,Dos de Julio S/N Local Municipal
111,04.- IQUITOS,LORETO,PUTUMAYO,PUTUMAYO,PAP PUTUMAYO,440,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,SI,LOCAL MUNICIPAL
112,04.- IQUITOS,LORETO,MAYNAS,PUNCHANA,PAP PUNCHANA,449,PAP,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,NO,NO,NO,SI,"Calle Cusco S/N, cuadra 5, equina con Trujillo."
113,04.- IQUITOS,LORETO,REQUENA,REQUENA,ORA REQUENA,645,ORA,OPERATIVO,08:45 a 16:45,SI,SI,NO,SI,SI,NO,NO,NO,NO ,Mártires del Petroléo S/N - Malecon Grau
114,04.- IQUITOS,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,ORA CABALLOCOCHA,711,ORA,OPERATIVO,08:45 a 16:45,SI,SI,NO,SI,SI,NO,NO,NO,NO ,Progreso N° 425
115,04.- IQUITOS,LORETO,MAYNAS,PUNCHANA,MAC - LORETO,806,MAC,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,NO,SI,La Marina Nº  1338
116,05.- CHIMBOTE,ANCASH,SANTA,CHIMBOTE,OR SANTA,33,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Jr. Enrique Palacios Nº 504-506 esquina con Jr. Ladislao Espinar Nº 401
117,05.- CHIMBOTE,ANCASH,SANTA,CHIMBOTE,CENTRO MAC ANCASH (MegaPlaza Chimbote),1182,MAC,OPERATIVO,08:30 a 16:30,SI,SI,SI,SI,NO,SI,SI,SI,SI,"Mz. B Lt. 1-A-1-A2 Sector Parque Gran Chavín, Centro Comercial Megaplaza Chimbote"
118,05.- CHIMBOTE,ANCASH,SANTA,NUEVO CHIMBOTE,AG NUEVO CHIMBOTE,137,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,SI,Mz. 74-75 Lt. 1 del Centro Cívico de la Municipalidad Distrital de Nuevo Chimbote
119,05.- CHIMBOTE,ANCASH,HUARAZ,HUARAZ,AG HUARAZ,21,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,SI,"Jr. Agustin Loly N° 756, Mz. 29A Lt. 27, Barrio La Soledad Alta, intersección con Jr. Agustin Mejía"
120,05.- CHIMBOTE,ANCASH,HUAYLAS,CARAZ,AG HUAYLAS,27,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,SI,Jr. Raimondi N° 215
121,05.- CHIMBOTE,ANCASH,HUARI,HUARI,AG HUARI,28,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,SI,Jr. Libertad Mz. P2 Lt. 003
122,05.- CHIMBOTE,ANCASH,POMABAMBA,POMABAMBA,AG POMABAMBA,31,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,SI,Jr. Huaraz Nº 369
123,05.- CHIMBOTE,ANCASH,SIHUAS,SIHUAS,AG SIHUAS,34,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,SI,"Jr. Gomes Arias 106, Barrio Pingullo Alto"
124,05.- CHIMBOTE,ANCASH,PALLASCA,PAMPAS,AG PAMPAS,518,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,SI,Calle Plaza de Armas S/N - Municipalidad Distrital de Pampas - 1er piso
125,05.- CHIMBOTE,ANCASH,CASMA,CASMA,PAP CASMA,25,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,SI,Sector Hijuela Mz. C Lt. 13 del Centro Cívico de la Municipalidad Provincial de Casma
126,05.- CHIMBOTE,ANCASH,HUARMEY,HUARMEY,PAP HUARMEY,39,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,NO,1er. Pabellón S/N del Centro Cívico de la Municipalidad Provincial de Huarmey
127,05.- CHIMBOTE,ANCASH,RECUAY,RECUAY,PAP RECUAY,32,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,NO,Jr. Plaza de Armas Nº 180 Municipalidad Distrital de Recuay
128,05.- CHIMBOTE,ANCASH,CARHUAZ,CARHUAZ,PAP CARHUAZ,24,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,NO,Av. La Merced Nº 1006
129,05.- CHIMBOTE,ANCASH,YUNGAY,YUNGAY,PAP YUNGAY,35,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,NO,Av.  Arias Grazziani Lt. 1-2 Centro Cívico de la Municipalidad Provincial de Yungay
130,05.- CHIMBOTE,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUÍS,PAP CARLOS FERMÍN FITZCARRALD,37,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,SI,Av. Ramón Castilla N° 320 - 1er. piso Centro Cívico de la Municipalidad Provincial de C. F. Fitzcarrald
131,05.- CHIMBOTE,ANCASH,MARISCAL LUZURIAGA,PISCOBAMBA,PAP MARISCAL LUZURIAGA,29,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,NO,"Jr. San Pablo S/N, Centro Cívico de la Municipalidad Provincial de Mariscal Luzuriaga"
132,05.- CHIMBOTE,ANCASH,SANTA,CHIMBOTE,ORA HOSPITAL LA CALETA (Chimbote),140,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,NO,NO,NO,NO,Av. Malecon Grau S/N
133,05.- CHIMBOTE,ANCASH,SANTA,CHIMBOTE,ORA HOSPITAL ESSALUD III CHIMBOTE,57,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,NO,NO,NO,NO,Av. Circunvalación Nº 119 Urb. Laderas del Norte
134,05.- CHIMBOTE,ANCASH,SANTA,NUEVO CHIMBOTE,ORA HOSPITAL ELEAZAR GUZMÁN BARRÓN (Nuevo Chimbote),56,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,NO,NO,NO,NO,"Av. Brasil S/N, Urb. Santa Cristina (Hospital Regional Eleazar Guzmán Barrón puerta de Emergencia)"
135,05.- CHIMBOTE,ANCASH,HUARAZ,HUARAZ,ORA HOSPITAL VÍCTOR RAMOS GUARDIA (Huaraz),295,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,NO,NO,NO,NO,"Av. Mariscal Luzuriaga cdra. 01, cruce con Jr. Pedro Villón cdra. 10"
136,05.- CHIMBOTE,ANCASH,HUAYLAS,CARAZ,ORA HOSPITAL DE APOYO CARAZ,595,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,NO,NO,NO,NO,Av. 9 de Octubre S/N
137,05.- CHIMBOTE,ANCASH,HUARI,HUARI,ORA HOSPITAL DE APOYO HUARI,748,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,NO,NO,NO,NO,Av. Circunvalación Baja S/N
138,05.- CHIMBOTE,ANCASH,CORONGO,CORONGO,PANP CORONGO,26,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,NO,"Jr. Grau N° 206, primer piso de la Municipalidad Provincial de Corongo"
139,05.- CHIMBOTE,ANCASH,PALLASCA,CABANA,PANP PALLASCA,30,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,NO,"Av. Plaza de Armas N° 103, primer piso de la Municipalidad Provincial de Pallasca"
140,05.- CHIMBOTE,ANCASH,AIJA,AIJA,PANP AIJA,22,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,NO,"Jr. Gavino Uribe S/N Plaza de Armas, 1er piso de la Municipalidad Provincial de Aija"
141,05.- CHIMBOTE,ANCASH,BOLOGNESI,CHIQUIAN,PANP BOLOGNESI,23,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,NO,"Jr. Tacna 320, primer piso del Centro Cívico de la Municipalidad Distrital de Chiquian"
142,05.- CHIMBOTE,ANCASH,YUNGAY,YANAMA,AG YANAMA,741,AG,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,NO,Jr. Gran Chavín 2da cuadra S/N
143,05.- CHIMBOTE,ANCASH,MARISCAL LUZURIAGA,LLUMPA,PANP LLUMPA,470,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,NO,Plaza de Armas S/N
144,05.- CHIMBOTE,ANCASH,ASUNCION,CHACAS,PANP ASUNCIÓN,38,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,NO,Coliseo de Chacas S/N
145,05.- CHIMBOTE,ANCASH,HUARI,CHAVIN DE HUANTAR,PANP CHAVÍN DE HUANTAR,714,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,NO,"Jr. San Martin S/N, 1er piso del Centro Cívico de la Municipalidad Distrital de Chavin de Huantar"
146,05.- CHIMBOTE,ANCASH,HUARI,SAN MARCOS,PANP SAN MARCOS ,715,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,NO,"Jr. Progreso 332, Plaza de Armas de San Marcos"
147,05.- CHIMBOTE,ANCASH,HUACAYBAMBA,HUACAYBAMBA,PANP HUACAYBAMBA,249,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,NO,"Av. El Ejercito S/N Barrio San Pedro, 1er piso Municipalidad Provincial de Huacaybamba"
148,05.- CHIMBOTE,ANCASH,ANTONIO RAIMONDI,LLAMELLIN,PANP ANTONIO RAIMONDI,36,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,NO,Jr. Simón Bolívar N° 229
149,05.- CHIMBOTE,ANCASH,HUARI,UCO,PANP UCO,766,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,NO,"Jr. Nicolas de Piérola S/N Plaza de Armas, 1er piso de la Municipalidad Distrital de Uco"
150,06.- HUANCAYO,JUNIN,HUANCAYO,EL TAMBO,OR HUANCAYO,281,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,SI,MARISCAL CASTILLA Nº 1801
151,06.- HUANCAYO,JUNIN,TARMA,TARMA,AG TARMA,285,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,SI,AREQUIPA Nº 939
152,06.- HUANCAYO,JUNIN,CHANCHAMAYO,LA MERCED,AG CHANCHAMAYO,288,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,SI,TARMA Nº 236
153,06.- HUANCAYO,JUNIN,SATIPO,PANGOA,PAP PANGOA,146,PAP,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,SI,07 DE JUNIO Nº 641 PLAZA PRINCIPAL CENTRO CIVICO
154,06.- HUANCAYO,JUNIN,SATIPO,MAZAMARI,PAP MAZAMARI,279,PAP,OPERATIVO,08:45 a 16:30,NO,NO,SI,SI,NO,SI,SI,NO,SI,SAN JUAN N° 377
155,06.- HUANCAYO,JUNIN,CONCEPCION,CONCEPCIÓN,PAP CONCEPCIÓN,282,PAP,OPERATIVO,08:45 a 16:30,SI,SI,SI,SI,NO,SI,SI,SI,SI,RICARDO PALMA S/N MERCADO MODELO INTERIOR 1 
156,06.- HUANCAYO,JUNIN,JAUJA,JAUJA,PAP JAUJA,283,PAP,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,SI,SUCRE N° 889
157,06.- HUANCAYO,JUNIN,JUNIN,JUNIN,PAP JUNIN,284,PAP,OPERATIVO,08:45 a 16:30,NO,NO,SI,SI,NO,SI,SI,NO,SI,SIMÓN BOLIVAR N° 820
158,06.- HUANCAYO,JUNIN,YAULI,SANTA ROSA DE SACCO,PAP YAULI,286,PAP,OPERATIVO,08:45 a 16:30,NO,NO,SI,SI,NO,SI,SI,NO,SI,MIGUEL GRAU N° 309
159,06.- HUANCAYO,JUNIN,SATIPO,SATIPO,PAP SATIPO,287,PAP,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,SI,MICAELA BASTIDAS Y JR. AUGUSTO B. LEGUIA CENTRO CIVICO 
160,06.- HUANCAYO,JUNIN,CHUPACA,CHUPACA,PAP CHUPACA,289,PAP,OPERATIVO,08:45 a 16:30,SI,SI,SI,SI,NO,SI,SI,SI,SI,GRAU N° 195 - CENTRO CÍVICO
161,06.- HUANCAYO,JUNIN,CHANCHAMAYO,PICHANAQUI,PAP PICHANAQUI,292,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,SI,INDEPENDENCIA S/N COLISEO MUNICIPAL
162,06.- HUANCAYO,JUNIN,HUANCAYO,HUANCAYO,"ORA REGIONAL DOCENTE MATERNO INFANTIL ""EL CARMEN""",215,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,NO,PUNO Nº 911
163,06.- HUANCAYO,JUNIN,TARMA,TARMA,ORA DE APOYO FELIX MAYORCA SOTO,733,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,NO,PACHECO Nº 362
164,06.- HUANCAYO,JUNIN,JAUJA ,JAUJA ,ORA HOSPITAL DOMINGO OLAVEGOYA,734,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,NO,SAN MARTÍN Nº 1153 URB. OLAVEGOYA 
165,06.- HUANCAYO,JUNIN,SATIPO,SATIPO,ORA DE APOYO MANUEL HIGA ARAKAKI,735,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,NO,DANIEL ALCIDES CARRIÓN Nº 398
166,06.- HUANCAYO,JUNIN,CHANCHAMAYO ,PICHANAQUI,ORA HOSPITAL DE APOYO PICHANAQUI,736,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,NO,SAN MARTÍN S/N PICHANAKI
167,06.- HUANCAYO,JUNIN,HUANCAYO,HUANCAYO,ORA LA LIBERTAD,763,ORA,DESPLAZAMIENTO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,NO,LA VITORIA 1001
168,06.- HUANCAYO,JUNIN,CHANCHAMAYO,LA MERCED,ORA HOSPITAL REGIONAL DOCENTE DE MEDICINA TROPICAL DR. JULIO DEMARINI CARO,764,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,NO,DANIEL A. CARRION S/N AV. PAMPA DEL CARMEN S/N
169,06.- HUANCAYO,JUNIN,HUANCAYO,EL TAMBO,ORA HOSPITAL NACIONAL RAMIRO PRIALE,142,ORA,DESPLAZAMIENTO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,NO,INDEPENDENCIA Nº 266
170,06.- HUANCAYO,JUNIN,SATIPO,PANGOA,ORA HOSPITAL DE PANGOA,737,ORA,DESPLAZAMIENTO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,NO,LA CULTURA S/N
171,06.- HUANCAYO,JUNIN,HUANCAYO,CHILCA,ORA CHILCA,765,ORA,DESPLAZAMIENTO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,NO,HUMBOLT Nº 900
172,06.- HUANCAYO,JUNIN,HUANCAYO,HUANCAYO,MAC JUNIN,1129,MAC,OPERATIVO,08:30 a 16:30,SI,SI,SI,SI,NO,SI,SI,SI,SI,FERROCARRIL N° 146 - 150 - CENTRO COMERCIAL OPEN PLAZA
173,07.- AYACUCHO,AYACUCHO,HUAMANGA,AYACUCHO,"ORA HOSPITAL REGIONAL DE AYACUCHO ""MIGUEL ANGEL MARISCAL LLERENA"" (MINSA)",47,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,NO,SI,NO,NO,NO,NO,Av.Daniel Alcides Carrión S/N - 2da cuadra.
174,07.- AYACUCHO,AYACUCHO,LA MAR,AYNA,PAP AYNA -SAN FRANCISCO,119,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,NO,28 de Julio S/N San Francisco
175,07.- AYACUCHO,AYACUCHO,HUAMANGA,AYACUCHO,OR HUAMANGA,121,OR,OPERATIVO,08:45 a 16:45,si,si,si,si,si,si,si,SI,Si,"San Martin Nº 473, 475, 477 y 477A"
176,07.- AYACUCHO,AYACUCHO,CANGALLO,CANGALLO,PAP CANGALLO,122,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,NO,Maria Parado de Bellido Nº 205
177,07.- AYACUCHO,AYACUCHO,HUANTA,HUANTA,AG HUANTA,123,AG,OPERATIVO,08:45 a 16:45,si,si,si,si,si,si,si,SI,Si,Ayacucho N° 305
178,07.- AYACUCHO,AYACUCHO,LA MAR,SAN MIGUEL,PAP LA MAR,124,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Si,Maria Parado de Bellido S/N 
179,07.- AYACUCHO,AYACUCHO,VICTOR FAJARDO,HUANCAPI,PAP VICTOR FAJARDO,127,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,NO,Plaza Principal Nº 127
180,07.- AYACUCHO,AYACUCHO,HUANCA SANCOS,SANCOS,PAP HUANCASANCOS,128,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,NO,Progreso S/N Consejo Provincial de Huanca Sancos
181,07.- AYACUCHO,AYACUCHO,VILCAS HUAMAN,VILCAS HUAMAN,PAP VILCASHUAMAN,129,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,NO,Los Incas Nº 222
182,07.- AYACUCHO,AYACUCHO,SUCRE,QUEROBAMBA,PAP SUCRE,131,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,NO,San Martin S/N  Plaza de Armas Consejo Provincial de Sucre
183,07.- AYACUCHO,AYACUCHO,HUANTA,HUANTA,"ORA HOSPITAL DE APOYO HUANTA ""DANIEL ALCIDES CARRION"" (MINSA)",213,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,NO,SI,NO,NO,NO,NO,Mariscal Castilla Nº 628
184,07.- AYACUCHO,AYACUCHO,LA MAR,SAN MIGUEL,ORA SAN MIGUEL (MINSA),454,ORA,DESPLAZAMIENTO,08:45 a 16:30,SI,NO,NO,NO,SI,NO,NO,NO,Si,Ramon Castilla s/n
185,07.- AYACUCHO,AYACUCHO,CANGALLO,CANGALLO,ORA HOSPITAL DE APOYO CANGALLO (MINSA),455,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,NO,Santa Rosa N° 110
186,07.- AYACUCHO,CUSCO,LA CONVENCION,PICHARI,PAP PICHARI,172,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Si,BRASIL S/N
187,07.- AYACUCHO,APURIMAC,CHINCHEROS,CHINCHEROS,PAP CHINCHEROS,77,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Si,COTABAMBAS N° 121
188,07.- AYACUCHO,AYACUCHO,LA MAR,SAMUGARI,PAP SAMUGARI -PALMAPAMPA,500,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,NO,Los Laureles S/N – Palmapampa Distrital de Samugari
189,07.- AYACUCHO,AYACUCHO,LA MAR,TAMBO,ORA TAMBO (MINSA),620,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,NO,Lima s/n
190,07.- AYACUCHO,AYACUCHO,HUAMANGA,JESUS NAZARENO,ORA HOSPITAL DE APOYO JESUS NAZARENO (MINSA),628,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,NO,Ciro Alegría Nº 547
191,07.- AYACUCHO,APURIMAC,ANDAHUAYLAS,TALAVERA,OR ANDAHUAYLAS,73,OR,OPERATIVO,08:45 a 16:45,si,si,si,si,si,si,si,SI,Si,Amauta N° 311
192,07.- AYACUCHO,APURIMAC,CHINCHEROS,ANCCO HUALLO,ORA  CENTRO DE SALUD URIPA  (MINSA),458,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,NO, Túpac Amaru S/N – URIPA
193,07.- AYACUCHO,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,ORA HOSPITAL REGIONAL DOCENTE  HUGO PESCE PESCETTO ANDAHUAYLAS (MINSA),459,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,NO,Hugo Pesce Pesceto S/N
194,07.- AYACUCHO,AYACUCHO,HUANTA,SIVIA,ORA HOSPITAL DE APOYO DE SIVIA (MINSA),357,ORA,DESPLAZAMIENTO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,NO,Gervacio Santillana S/N
195,07.- AYACUCHO,CUSCO,LA CONVENCION,KIMBIRI,ORA CENTRO DE SALUD SAN JUAN DE KIMBIRI (MINSA),699,ORA,DESPLAZAMIENTO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,NO,Aeropuerto S/N
196,07.- AYACUCHO,CUSCO,LA CONVENCION,PICHARI,ORA HOSPITAL DE APOYO PICHARI (MINSA),629,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,NO,Amazonas s/n
197,07.- AYACUCHO,APURIMAC,CHINCHEROS,CHINCHEROS,ORA HOSPITAL DE APOYO CHINCHEROS (MINSA),457,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,NO,Fernando Belaunde Terry S/N
198,07.- AYACUCHO,AYACUCHO,CANGALLO,LOS MOROCHUCOS,ORA PAMPA CANGALLO (MINSA),631,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,NO,María Arguedas S/N
199,08.- AREQUIPA,AREQUIPA,AREQUIPA,AREQUIPA,ORA HOSPITAL REGIONAL HONORIO DELGADO ESPINOZA (MINSA),52,ORA,OPERATIVO,08:45 a 16:45,SI,SI,NO,SI,SI,NO,NO,NO,NO,Daniel Alcides Carrión N° 505
200,08.- AREQUIPA,TACNA,TACNA,TACNA,ORA TACNA (MINSA),54,ORA,OPERATIVO,08:45 a 16:45,SI,SI,NO,SI,SI,NO,NO,NO,NO,Blondel S/N
201,08.- AREQUIPA,AREQUIPA,AREQUIPA,AREQUIPA,OR AREQUIPA,91,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,SI,San Juan de Dios N° 122 y Santo Domingo N° 101
202,08.- AREQUIPA,AREQUIPA,CAYLLOMA,CHIVAY,PAP CAYLLOMA,92,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,SI,Siglo XX S/N
203,08.- AREQUIPA,AREQUIPA,CAMANA,CAMANA,AG CAMANA,93,AG,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,SI,Mariscal Castilla N° 221
204,08.- AREQUIPA,AREQUIPA,CARAVELI,CARAVELÍ,PAP CARAVELI,94,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,SI,Bolivar S/N
205,08.- AREQUIPA,AREQUIPA,CASTILLA,APLAO,PAP CASTILLA,95,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,NO,Progreso S/N
206,08.- AREQUIPA,AREQUIPA,CONDESUYOS,CHUQUIBAMBA,PAP CONDESUYOS,96,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,NO,Alameda S/N - Los Tres Errantes
207,08.- AREQUIPA,AREQUIPA,ISLAY,MOLLENDO,AG ISLAY,97,AG,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,SI,Arequipa Nº 261 
208,08.- AREQUIPA,AREQUIPA,LA UNION,COTAHUASI,PAP LA UNION,98,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,NO,Centenario N° 202 - Cotahuasi
209,08.- AREQUIPA,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,ORA HOSPITAL REGIONAL MOQUEGUA (MINSA),145,ORA,OPERATIVO,08:45 a 16:45,SI,SI,NO,SI,SI,NO,NO,NO,NO,Simón Bolívar N° 505
210,08.- AREQUIPA,MOQUEGUA,MARISCAL NIETO,SAN ANTONIO,AG MARISCAL NIETO,481,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,SI,Central Mz D-4 Lt. 1
211,08.- AREQUIPA,MOQUEGUA,ILO,ILO,AG ILO,483,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,SI,Ayacucho N° 529
212,08.- AREQUIPA,AREQUIPA,CAYLLOMA,MAJES,AG MAJES,511,AG,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,SI,Arequipa S/N - Tienda 06 del Estadio Almirante Miguel Grau - Pedregal
213,08.- AREQUIPA,AREQUIPA,AREQUIPA,CAYMA,AG CAYMA,579,AG,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,NO,NO,NO,SI,Ramón Castilla S/N - Estadio La Tomilla
214,08.- AREQUIPA,TACNA,TACNA,TACNA,AG TACNA,621,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,SI,Deustua Nº 173
215,08.- AREQUIPA,AREQUIPA,AREQUIPA,AREQUIPA,ORA HOSPITAL III GOYENECHE (MINSA),725,ORA,OPERATIVO,08:45 a 16:45,SI,SI,NO,SI,SI,NO,NO,NO,NO,Goyeche N° 100
216,08.- AREQUIPA,AREQUIPA,CAMANA,CAMANA,ORA HOSPITAL DE CAMANA (MINSA),726,ORA,OPERATIVO,08:45 a 16:45,SI,SI,NO,SI,SI,NO,NO,NO,NO,Lima 550
217,08.- AREQUIPA,AREQUIPA,AREQUIPA,PAUCARPATA,MAC - AREQUIPA,762,MAC,OPERATIVO,08:30 a 16:30,SI,SI,SI,SI,NO,SI,SI,SI,SI,Porongoche N° 500 Paucarpata - Centro Comercial Mall Aventura 
